-2098701,1.567446
-703308,5.846656
-1840935,9.018026
-190032,21.840532
-1427184,0.179374
-478272,0.669075
173808,20.031300
271788,3.956025
431964,9.600801
293020,0.698928
747040,17.545513
1233260,3.487343
1230040,3.329973
2018940,1.724469
2756320,19.021303
-763164,18.319521
-1193379,3.617962
-1896687,8.780362
-807636,21.840532
-1262921,4.313334
-2007213,10.467947
-518976,2.096436
-811536,0.414030
-1289808,1.004801
698640,19.933586
746352,17.836088
751464,18.532358
841776,19.706905
788952,16.873016
788100,16.891258
3525900,0.058084
2015720,1.625623
2952740,17.755981
3265080,21.075380
3139500,21.200829
2923760,18.212166
3001040,17.470211
2711240,19.337572
-2345607,1.490105
-3202296,16.436207
-3067620,18.230160
-3277116,16.311903
-3299562,16.948673
-3696108,18.022850
-3464166,15.431131
-2842562,6.205388
-4335105,0.059837
-2478334,1.674673
-3630403,18.291742
-4014426,21.711298
-3860025,21.840532
-3594772,18.761690
-2177664,1.880915
-2086080,2.086210
-2465136,2.076964
-2228544,1.866690
-2243808,1.939560
-2513472,2.062486
-2355744,1.765896
-2353200,1.767806
717384,18.270828
835812,19.602493
3158820,20.746988
7325500,1.817214
-3460425,15.447813
-3628770,18.130661
-3565173,15.685971
-7878546,0.417539
-3689788,17.997349
-3333478,19.921055
-3883779,21.372997
-9006725,1.872046
-2467680,2.074823
-2424432,1.795060
-5357664,0.047782
